Class,Content,ID,Name,Tag,Xpath,label,object_name,page_name,page_title,start_time
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz x173jzuc _a6hd,Go back to Instagram.,,,a,"//a[@href=""/""]",,GO_BACK_TO_INSTAGR,login,Page not found • Instagram,2025-06-23 08:23:58.824
x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4,Meta,,,a,"//a[@href=""https://about.meta.com/""]",,META,login,Page not found • Instagram,2025-06-23 08:23:58.831
x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4,About,,,a,"//a[@href=""https://about.instagram.com/""]",,ABOUT,login,Page not found • Instagram,2025-06-23 08:23:58.835
x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4,Blog,,,a,"//a[@href=""https://about.instagram.com/blog/""]",,BLOG,login,Page not found • Instagram,2025-06-23 08:23:58.838
x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4,Jobs,,,a,"//a[@href=""https://about.instagram.com/about-us/careers""]",,JOBS,login,Page not found • Instagram,2025-06-23 08:23:58.841
x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4,Help,,,a,"//a[@href=""https://help.instagram.com/""]",,HELP,login,Page not found • Instagram,2025-06-23 08:23:58.844
x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4,API,,,a,"//a[@href=""https://developers.facebook.com/docs/instagram""]",,API,login,Page not found • Instagram,2025-06-23 08:23:58.848
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 xggy1nq x1a2a7pz x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4 _a6hd,Privacy,,,a,"//a[@href=""/legal/privacy/""]",,PRIVACY,login,Page not found • Instagram,2025-06-23 08:23:58.851
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 xggy1nq x1a2a7pz x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4 _a6hd,Terms,,,a,"//a[@href=""/legal/terms/""]",,TERMS,login,Page not found • Instagram,2025-06-23 08:23:58.854
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 xggy1nq x1a2a7pz x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4 _a6hd,Locations,,,a,"//a[@href=""/explore/locations/""]",,LOCATIONS,login,Page not found • Instagram,2025-06-23 08:23:58.858
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 xggy1nq x1a2a7pz x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4 _a6hd,Instagram Lite,,,a,"//a[@href=""/web/lite/""]",,INSTAGRAM_LITE,login,Page not found • Instagram,2025-06-23 08:23:58.861
x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4,Threads,,,a,"//a[@href=""https://www.threads.com/""]",,THREADS,login,Page not found • Instagram,2025-06-23 08:23:58.864
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 xggy1nq x1a2a7pz x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4 _a6hd,Contact Uploading & Non-Users,,,a,"//a[@href=""https://www.facebook.com/help/instagram/261704639352628""]",,CONTACT_UPLOADING,login,Page not found • Instagram,2025-06-23 08:23:58.868
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 xggy1nq x1a2a7pz x1fhwpqd xz5fbns x1hl2dhg xb5lr1p x6mezaz x1roi4f4 _a6hd,Meta Verified,,,a,"//a[@href=""/accounts/meta_verified/?entrypoint=web_footer""]",,META_VERIFIED,login,Page not found • Instagram,2025-06-23 08:23:58.871
x1ypdohk x5yr21d x1o0tod xg01cxk x10l6tqk x13vifvy xh8yej3,AfrikaansالعربيةČeštinaDanskDeutschΕλληνικάEnglishEnglish (UK)Español (España)EspañolفارسیSuomiFrançaisעבריתBahasa IndonesiaItaliano日本語한국어Bahasa MelayuNorskNederlandsPolskiPortuguês (Brasil)Português (Portugal)РусскийSvenskaภาษาไทยFilipinoTürkçe中文(简体)中文(台灣)বাংলাગુજરાતીहिन्दीHrvatskiMagyarಕನ್ನಡമലയാളംमराठीनेपालीਪੰਜਾਬੀසිංහලSlovenčinaதமிழ்తెలుగుاردوTiếng Việt中文(香港)БългарскиFrançais (Canada)RomânăСрпскиУкраїнська,,,select,"//select[@class=""x1ypdohk x5yr21d x1o0tod xg01cxk x10l6tqk x13vifvy xh8yej3""]",,AFRIKAANSETINADANS,login,Page not found • Instagram,2025-06-23 08:23:58.884
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,Instagram,,,a,"//a[@href=""/""]",,INSTAGRAM,login,Page not found • Instagram,2025-06-23 08:23:58.939
x1n2onr6,HomeHome,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1],,HOMEHOME,login,Page not found • Instagram,2025-06-23 08:23:58.951
html-span xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x1hl2dhg x16tdsg8 x1vvkbs x4k7w5x x1h91t0o x1h9r5lt x1jfb8zj xv2umb2 x1beo9mf xaigb6o x12ejxvf x3igimt xarpa2k xedcshv x1lytzrv x1t2pt76 x7ja8zs x1qrby5j,HomeHome,,,span,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/span[1],,HOMEHOME,login,Page not found • Instagram,2025-06-23 08:23:58.954
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,HomeHome,,,a,"//a[@href=""/""]",,HOMEHOME,login,Page not found • Instagram,2025-06-23 08:23:58.956
html-span xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x1hl2dhg x16tdsg8 x1vvkbs x4k7w5x x1h91t0o x1h9r5lt x1jfb8zj xv2umb2 x1beo9mf xaigb6o x12ejxvf x3igimt xarpa2k xedcshv x1lytzrv x1t2pt76 x7ja8zs x1qrby5j,SearchSearch,,,span,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/span[1],,SEARCHSEARCH,login,Page not found • Instagram,2025-06-23 08:23:58.987
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,SearchSearch,,,a,"//a[@href=""#""]",,SEARCHSEARCH,login,Page not found • Instagram,2025-06-23 08:23:58.990
,Search,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/span[1]/div[1]/a[1]/div[1]/div[1],,SEARCH,login,Page not found • Instagram,2025-06-23 08:23:58.994
x9f619 xjbqb8w x78zum5 x15mokao x1ga7v0g x16uus16 xbiv7yw x1n2onr6 x1plvlek xryxfnj x1c4vz4f x2lah0s xdt5ytf xqjyukv x1qjc9v5 x1oa3qoh x1nhvcw1,Search,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1],,SEARCH,login,Page not found • Instagram,2025-06-23 08:23:58.997
x9f619 xxk0z11 xii2z7h x11xpdln x19c4wfv xvy4d1p,Search,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1]/div[1],,SEARCH,login,Page not found • Instagram,2025-06-23 08:23:59.000
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,Search,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/span[1]/div[1]/a[1]/div[1]/div[2],,SEARCH,login,Page not found • Instagram,2025-06-23 08:23:59.008
,Search,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[2]/span[1]/div[1]/a[1]/div[1]/div[2]/div[1],,SEARCH,login,Page not found • Instagram,2025-06-23 08:23:59.011
html-span xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x1hl2dhg x16tdsg8 x1vvkbs x4k7w5x x1h91t0o x1h9r5lt x1jfb8zj xv2umb2 x1beo9mf xaigb6o x12ejxvf x3igimt xarpa2k xedcshv x1lytzrv x1t2pt76 x7ja8zs x1qrby5j,ExploreExplore,,,span,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/span[1],,EXPLOREEXPLORE,login,Page not found • Instagram,2025-06-23 08:23:59.019
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,ExploreExplore,,,a,"//a[@href=""/explore/""]",,EXPLOREEXPLORE,login,Page not found • Instagram,2025-06-23 08:23:59.022
x9f619 xjbqb8w x78zum5 x15mokao x1ga7v0g x16uus16 xbiv7yw x1n2onr6 x1plvlek xryxfnj x1c4vz4f x2lah0s xdt5ytf xqjyukv x1qjc9v5 x1oa3qoh x1nhvcw1,Explore,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1],,EXPLORE,login,Page not found • Instagram,2025-06-23 08:23:59.029
x9f619 xxk0z11 xii2z7h x11xpdln x19c4wfv xvy4d1p,Explore,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1]/div[1],,EXPLORE,login,Page not found • Instagram,2025-06-23 08:23:59.033
x6s0dn4 x9f619 xxk0z11 x6ikm8r xeq5yr9 xf7dkkf x1s85apg xzzcqpx,Explore,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[3]/span[1]/div[1]/a[1]/div[1]/div[2],,EXPLORE,login,Page not found • Instagram,2025-06-23 08:23:59.040
html-span xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x1hl2dhg x16tdsg8 x1vvkbs x4k7w5x x1h91t0o x1h9r5lt x1jfb8zj xv2umb2 x1beo9mf xaigb6o x12ejxvf x3igimt xarpa2k xedcshv x1lytzrv x1t2pt76 x7ja8zs x1qrby5j,ReelsReels,,,span,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[4]/span[1],,REELSREELS,login,Page not found • Instagram,2025-06-23 08:23:59.052
x1i10hfl xjbqb8w x1ejq31n x18oe1m7 x1sy0etr xstzfhl x972fbf x10w94by x1qhh985 x14e42zd x9f619 x1ypdohk xt0psk2 xe8uvvx xdj266r x14z9mp xat24cr x1lziwak xexx8yu xyri2b x18d9i69 x1c1uobl x16tdsg8 x1hl2dhg xggy1nq x1a2a7pz _a6hd,ReelsReels,,,a,"//a[@href=""/reels/""]",,REELSREELS,login,Page not found • Instagram,2025-06-23 08:23:59.055
x9f619 xjbqb8w x78zum5 x15mokao x1ga7v0g x16uus16 xbiv7yw x1n2onr6 x1plvlek xryxfnj x1c4vz4f x2lah0s xdt5ytf xqjyukv x1qjc9v5 x1oa3qoh x1nhvcw1,Reels,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[4]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1],,REELS,login,Page not found • Instagram,2025-06-23 08:23:59.062
x9f619 xxk0z11 xii2z7h x11xpdln x19c4wfv xvy4d1p,Reels,,,div,/html[1]/body[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[2]/div[4]/span[1]/div[1]/a[1]/div[1]/div[1]/div[1]/div[1],,REELS,login,Page not found • Instagram,2025-06-23 08:23:59.066
